Comuna;Total general
ALHUE ;6.004
BUIN;73.511
CALERA DE TANGO ;22.016
CERRILLOS ;67.845
CERRO NAVIA ;116.544
COLINA;87.987
CONCHALÍ;119.859
CURACAVI;25.834
EL BOSQUE ;138.923
EL MONTE;27.418
ESTACIÓN CENTRAL;127.362
HUECHURABA;72.756
INDEPENDENCIA ;81.550
ISLA DE MAIPO ;27.290
LA CISTERNA ;83.559
LA FLORIDA;307.743
LA GRANJA ;104.909
LA PINTANA;139.554
LA REINA;91.690
LAMPA ;57.086
LAS CONDES;267.875
LO BARNECHEA;81.361
LO ESPEJO ;91.888
LO PRADO;89.765
MACUL ;101.724
MAIPÚ;389.595
MARIA PINTO ;11.262
MELIPILLA ;96.589
ÑUÑOA;195.466
PADRE HURTADO ;42.789
PAINE ;52.520
PEDRO AGUIRRE CERDA ;94.170
PEÑAFLOR;71.945
PEÑALOLÉN ;192.235
PIRQUE;21.736
PROVIDENCIA ;169.757
PUDAHUEL;168.418
PUENTE ALTO ;398.965
QUILICURA ;138.256
QUINTA NORMAL ;102.553
RECOLETA;143.902
RENCA ;117.169
SAN BERNARDO;228.270
SAN JOAQUÍN ;83.179
SAN JOSE DE MAIPO ;15.619
SAN MIGUEL;104.331
SAN PEDRO ;8.246
SAN RAMÓN ;82.360
SANTIAGO;337.288
TALAGANTE ;57.618
TILTIL;14.369
VITACURA;88.737
